"Rate Date","Rate Type","Range","Weighted Average"
"5/4/2023","OBB Rate","11.00 - 12.75","11.09",
"5/3/2023","Call Rate","11.00 - 11.00","11.00",
"5/3/2023","OBB Rate","11.00 - 14.00","11.20",
"5/2/2023","Call Rate","11.00 - 11.00","11.00",
"5/2/2023","OBB Rate","11.00 - 14.00","11.31",
"4/28/2023","OBB Rate","11.00 - 16.50","13.66",
"4/27/2023","OBB Rate","11.00 - 12.50","11.09",
"4/26/2023","Call Rate","11.00 - 11.00","11.00",
"4/26/2023","OBB Rate","11.00 - 19.00","11.58",
"4/25/2023","OBB Rate","11.50 - 15.50","13.96",
"4/20/2023","OBB Rate","13.00 - 19.00","18.03",
"4/19/2023","OBB Rate","18.00 - 19.00","18.65",
"4/18/2023","OBB Rate","18.00 - 19.00","18.82",
"4/17/2023","OBB Rate","18.00 - 19.00","18.74",
"4/14/2023","OBB Rate","18.00 - 19.00","18.46",
"4/13/2023","OBB Rate","18.00 - 19.00","18.84",
"4/12/2023","OBB Rate","18.00 - 19.00","18.87",
"4/11/2023","OBB Rate","17.00 - 19.00","18.69",
"4/6/2023","OBB Rate","16.00 - 19.00","18.57",
"4/5/2023","Call Rate","19.00 - 19.00","19.00",
"4/5/2023","OBB Rate","16.00 - 19.00","18.50",
"4/4/2023","Call Rate","19.00 - 19.00","19.00",
"4/4/2023","OBB Rate","14.00 - 19.00","18.28",
"4/3/2023","OBB Rate","13.00 - 19.00","18.01",
"3/31/2023","OBB Rate","15.00 - 19.00","18.74",
"3/30/2023","OBB Rate","15.00 - 19.00","18.28",
"3/29/2023","Call Rate","19.00 - 19.00","19.00",
"3/29/2023","OBB Rate","11.00 - 19.00","18.33",
"3/28/2023","Call Rate","19.00 - 19.00","19.00",
"3/28/2023","OBB Rate","13.00 - 19.00","18.21",
"3/27/2023","OBB Rate","10.50 - 19.00","17.33",
"3/24/2023","OBB Rate","10.50 - 19.00","18.41",
"3/23/2023","OBB Rate","12.50 - 19.00","18.27",
"3/22/2023","OBB Rate","11.00 - 19.00","18.60",
"3/21/2023","OBB Rate","10.50 - 19.00","17.73",
"3/20/2023","OBB Rate","10.50 - 18.50","16.89",
"3/17/2023","OBB Rate","10.50 - 18.50","13.17",
"3/14/2023","OBB Rate","10.50 - 11.00","10.53",
"3/13/2023","OBB Rate","10.50 - 11.50","10.70",
"3/10/2023","OBB Rate","10.50 - 11.00","10.53",
"3/9/2023","OBB Rate","10.50 - 10.50","10.50",
