"Rate Date","Rate Type","Range","Weighted Average"
"9/26/2011","Call Rate","10.0000 - 11.5000","10.2100",
"9/26/2011","OBB Rate","9.7500-10.0000","9.7700",
"9/23/2011","Call Rate","10.0000 - 11.8500","11.4400",
"9/23/2011","OBB Rate","11.2500-11.2500","11.2500",
"9/22/2011","Call Rate","11.2500 - 12.0000","11.6900",
"9/22/2011","OBB Rate","11.2500 - 11.2500","11.2500",
"9/21/2011","Call Rate","11.2500 - 12.1000","11.7300",
"9/21/2011","OBB Rate","11.2500 - 11.2500","11.2500",
"9/20/2011","7-Day","11.2500 - 11.2500","11.2500",
"9/20/2011","Call Rate","11.2500 - 12.0000","11.6300",
"9/20/2011","OBB Rate","11.0000 - 11.2500","11.1600",
"9/19/2011","Call Rate","10.0000 - 11.0000","10.7400",
"9/19/2011","OBB Rate","10.0000 - 10.7500","10.6300",
"9/16/2011","Call Rate","8.5000 - 11.0000","10.5600",
"9/16/2011","OBB Rate","9.7500 - 10.7500","10.2300",
"9/15/2011","Call Rate","9.7500 - 11.7500","11.0000",
"9/15/2011","OBB Rate","8.5000 - 10.7500","10.3600",
"9/14/2011","Call Rate","10.0000 - 12.0000","11.1600",
"9/14/2011","OBB Rate","10.0000 - 10.7500","10.5000",
"9/13/2011","Call Rate","10.0000 - 12.0000","11.4000",
"9/13/2011","OBB Rate","10.5000 - 11.2500","10.8400",
"9/12/2011","7-Day","11.0000 - 11.0000","11.0000",
"9/12/2011","Call Rate","8.7500 - 12.0000","11.3300",
"9/12/2011","OBB Rate","10.2500 - 10.7500","10.6400",
"9/9/2011","60-Day","10.7500 - 10.7500","10.7500",
"9/9/2011","Call Rate","10.5000 - 11.2500","11.0700",
"9/9/2011","OBB Rate","9.2500 - 10.7500","10.3100",
"9/7/2011","30-Day","10.0000 - 10.5000","10.3100",
"9/7/2011","60-Day","10.5000 - 10.5000","10.5000",
"9/7/2011","Call Rate","8.0000 - 9.0000","8.5800",
"9/7/2011","OBB Rate","8.0000 - 8.5000","8.2700",
"9/6/2011","30-Day","10.0000 - 10.0000","10.0000",
"9/6/2011","Call Rate","8.0000 - 8.7500","8.4800",
"9/6/2011","OBB Rate","7.0500 - 8.5000","8.3400",
"9/5/2011","30-Day","10.2500 - 10.9000","10.7900",
"9/5/2011","OBB Rate","7.5000 - 8.2500","8.0500",
"9/2/2011","Call Rate","7.5000 - 8.7500","8.2100",
"9/1/2011","60-Day","10.5000 - 10.5000","10.5000",
"9/1/2011","Call Rate","7.5000 - 8.5000","7.8900",
"9/1/2011","OBB Rate","7.0000 - 7.7500","7.5800",
"8/29/2011","Call Rate","8.0000 - 9.0000","8.6000",
"8/29/2011","OBB Rate","7.7500 - 8.8000","8.4900",
"8/26/2011","Call Rate","7.7500 - 8.7500","8.3500",
"8/26/2011","OBB Rate","8.0000 - 8.7500","8.3400",
"8/25/2011","Call Rate","7.6000 - 8.7500","8.2600",
"8/25/2011","OBB Rate","7.3000 - 8.5000","7.9100",
"8/24/2011","Call Rate","7.2500 - 9.2500","8.2500",
"8/24/2011","OBB Rate","7.2500 - 8.0000","7.6700",
"8/23/2011","30-Day","11.7500 - 11.7500","11.7500",
"8/23/2011","Call Rate","8.5000 - 9.7500","9.3000",
"8/23/2011","OBB Rate","8.5000 - 9.2500","8.7500",
"8/22/2011","60-Day","12.5000 - 12.5000","12.5000",
"8/22/2011","Call Rate","6.7500 - 9.7500","9.2700",
"8/22/2011","OBB Rate","8.7500 - 9.5000","9.2000",
"8/19/2011","Call Rate","7.0000 - 8.5000","7.8600",
"8/19/2011","OBB Rate","7.2500 - 8.5000","8.0300",
"8/18/2011","60-Day","11.0000 - 11.0000","11.0000",
"8/18/2011","Call Rate","7.0000 - 7.7500","7.2400",
"8/18/2011","OBB Rate","6.4500 - 7.0000","6.9700",
"8/17/2011","Call Rate","9.0000 - 10.7500","10.3100",
"8/17/2011","OBB Rate","8.5000 - 10.2500","9.6900",
"8/16/2011","Call Rate","9.0000 - 10.7500","10.2000",
"8/16/2011","OBB Rate","7.5000 - 9.2500","8.5900",
"8/15/2011","Call Rate","8.5000 -10.0000","9.5200",
"8/15/2011","OBB Rate","9.0000 - 11.0000","10.1700",
"8/12/2011","Call Rate","9.7500 - 11.0000","10.6000",
"8/12/2011","OBB Rate","9.5000 - 10.7500","10.2900",
"8/11/2011","Call Rate","7.7500 - 11.0000","10.6000",
"8/11/2011","OBB Rate","9.5000 - 10.7500","10.2900",
"8/10/2011","7-Day","11.5000 - 11.5000","11.5000",
"8/10/2011","Call Rate","9.2500 - 11.0000","10.3700",
"8/10/2011","OBB Rate","6.8500 - 10.7500","9.9700",
"8/9/2011","30-Day","10.5000 - 11.5000","10.6400",
"8/9/2011","7-Day","10.0000 - 10.0000","10.0000",
"8/9/2011","Call Rate","8.0000 - 9.5000","8.7800",
"8/9/2011","OBB Rate","6.8000 - 9.5000","8.0500",
"8/8/2011","Call Rate","6.9000 - 7.5000","7.2100",
"8/8/2011","OBB Rate","6.7500 - 7.5000","7.1600",
"8/5/2011","Call Rate","6.9000 - 7.5000","7.1600",
"8/5/2011","OBB Rate","6.9000 - 8.6000","7.2600",
"8/4/2011","30-Day","9.7500 - 9.7500","9.7500",
"8/4/2011","60-Day","9.7500 - 9.7500","9.7500",
"8/4/2011","Call Rate","6.8500 - 7.5000","7.0700",
"8/4/2011","OBB Rate","6.7500 - 7.4500","6.8500",
"8/3/2011","60-Day","9.7500 - 9.7500","9.7500",
"8/3/2011","Call Rate","6.8000 - 7.2500","6.9600",
"8/3/2011","OBB Rate","6.3000 - 8.2000","6.7400",
"8/2/2011","Call Rate","6.8000 - 7.2500","6.8800",
"8/2/2011","OBB Rate","6.7500 - 7.0000","6.9900",
"8/1/2011","30-Day","10.7500 - 10.7500","10.7500",
"8/1/2011","Call Rate","6.8000 - 7.2500","6.9500",
"8/1/2011","OBB Rate","7.0000 - 7.0000","7.0000",
"7/29/2011","Call Rate","6.7500 - 7.0000","6.8400",
"7/29/2011","OBB Rate","7.0000 - 7.0000","7.0000",
"7/28/2011","Call Rate","7.0000 - 8.2500","7.3600",
"7/28/2011","OBB Rate","7.0000 - 7.4000","7.1000",
"7/27/2011","Call Rate","7.0000 - 9.2500","7.4900",
"7/27/2011","OBB Rate","7.0000 - 8.3500 ","7.4900",
"7/26/2011","60-Day","10.2500 - 10.2500","10.2500",
"7/26/2011","Call Rate","6.5000 - 8.5000","7.1700",
"7/26/2011","OBB Rate","5.9500 - 7.0000","6.6500",
"7/25/2011","Call Rate","6.5000 - 7.5000","7.1200",
"7/25/2011","OBB Rate","6.2500 - 7.0000","6.9000",
"7/22/2011","60-Day","10.2500 - 10.2500","10.2500",
"7/22/2011","Call Rate","5.000 - 8.2500","7.4500",
"7/22/2011","OBB Rate","6.2500 - 7.5000","6.9400",
"7/21/2011","Call Rate","6.5000 - 9.7500","7.4000",
"7/21/2011","OBB Rate","6.2500 - 8.5000","6.7800",
"7/20/2011","Call Rate","8.6000 - 10.5000","9.2400",
"7/20/2011","OBB Rate","5.9000 - 9.4000","7.8100",
"7/19/2011","Call Rate","7.0000 - 10.0000","9.1600",
"7/19/2011","OBB Rate","6.8500 - 8.2500","7.1800",
"7/18/2011","Call Rate","6.5000 - 10.0000","9.2900",
"7/18/2011","OBB Rate","6.4000 - 8.7500","7.2500",
"7/15/2011","Call Rate","8.0000 - 10.2500","9.3300",
"7/15/2011","OBB Rate","6.0500 - 8.7500","8.0300",
"7/14/2011","30-Day","12.0000 - 12.0000","12.0000",
"7/14/2011","Call Rate","8.5000 - 10.0000","9.4300",
"7/14/2011","OBB Rate","6.3000 - 8.5000","7.4800",
"7/13/2011","60-Day","12.0000 - 12.5000","12.2200",
"7/13/2011","Call Rate","8.5000 - 10.0000","9.3000",
"7/13/2011","OBB Rate","6.5000 - 8.5000","6.7500",
"7/12/2011","Call Rate","8.7500 - 10.0000","9.4000",
"7/12/2011","OBB Rate","6.7500 - 8.5000","8.1300",
"7/11/2011","30-Day","10.5000 - 13.7500","11.2500",
"7/11/2011","60-Day","8.5000 - 12.0000","11.8700",
"7/11/2011","Call Rate","8.7500 - 10.0000","9.5400",
"7/11/2011","OBB Rate","7.0000 - 9.0000","8.0300",
"7/7/2011","7-Day","12.0000 - 12.0000","12.0000",
"7/7/2011","Call Rate","8.0000 - 11.0000","9.8500",
"7/7/2011","OBB Rate","6.2000 - 9.2500","8.7400",
"7/6/2011","Call Rate","8.5000 - 10.7500","9.6900",
"7/6/2011","OBB Rate","7.5000 - 9.0000","8.5900",
"7/5/2011","Call Rate","8.5000 -  13.0000","10.84000",
"7/5/2011","OBB Rate","7.2500 -  9.2500","8.0800",
"7/4/2011","Call Rate","9.000 - 11.2500","10.2100",
"7/4/2011","OBB Rate","7.5000 - 9.5000","8.4900",
"7/1/2011","Call Rate","8.5000 - 11.5000","10.6200",
"7/1/2011","OBB Rate","6.0500 - 9.5000","8.1200",
"6/30/2011","Call Rate","9.7500 - 11.5000","10.9200",
"6/30/2011","OBB Rate","7.5000 - 10.0000","9.1100",
"6/29/2011","Call Rate","9.5000 - 13.5000","10.8600",
"6/29/2011","OBB Rate","8.0000 - 10.0000","9.1000",
"6/28/2011","30-Day","13.5000 - 13.5000","13.5000",
"6/28/2011","60-Day","13.2500 - 13.2500","13.2500",
"6/28/2011","Call Rate","9.5000 - 13.7500","10.6200",
"6/27/2011","60-Day","13.5000 - 13.5000","13.5000",
"6/27/2011","Call Rate","10.0000 - 13.5000","11.1100",
"6/27/2011","OBB Rate","8.2000 - 10.0000","9.7200",
"6/24/2011","Call Rate","10.0000 - 11.5000","11.0700",
"6/24/2011","OBB Rate","8.4500 - 10.0000","9.4500",
"6/23/2011","7-Day","14.0000 - 14.0000","14.0000",
"6/23/2011","Call Rate","11.0000 - 12.5000","11.6100",
"6/23/2011","OBB Rate","8.0000 - 10.0000","8.9400",
"6/22/2011","Call Rate","11.2500 - 13.5000","11.7200",
"6/22/2011","OBB Rate","8.5000 - 10.0000","9.4500",
"6/21/2011","30-Day","13.5000 - 13.5000","13.5000",
"6/21/2011","60-Day","13.5000 - 13.5000","13.5000",
"6/21/2011","Call Rate","9.5000 - 13.7500","11.5800",
"6/21/2011","OBB Rate","8.5000 - 10.0000","9.5600",
"6/20/2011","Call Rate","10.0000 - 14.0000","12.8400",
"6/20/2011","OBB Rate","8.5000 - 10.0000","9.8400",
"6/16/2011","Call Rate","10.0000 - 13.7500","13.4200",
"6/16/2011","OBB Rate","9.5000 - 10.0000","9.6900",
"6/15/2011","Call Rate","10.0000 - 13.7500","13.4400",
"6/15/2011","OBB Rate","10.0000 - 10.0000","10.0000",
"6/14/2011","Call Rate","10.0000 - 13.7500","13.0700",
"6/14/2011","OBB Rate","9.1500 - 10.0000","9.9700",
"6/13/2011","7-Day","14.5000 - 14.5000","14.5000",
"6/13/2011","Call Rate","10.0000 - 14.0000","13.6400",
"6/13/2011","OBB Rate","10.0000 - 10.0000","10.0000",
"6/10/2011","Call Rate","10.0000 - 13.5000","130800",
"6/10/2011","OBB Rate","9.1000 - 10.0000","9.8200",
"6/9/2011","Call Rate","10.0000 - 13.5000","12.2600",
"6/9/2011","OBB Rate","8.0000 - 10.0000","9.9300",
"6/8/2011","30-Day","10.7500 - 10.7500","10.7500",
"6/8/2011","Call Rate","9.7500 - 12.0000","11.0900",
"6/8/2011","OBB Rate","8.7500 - 10.0000","9.4000",
"6/7/2011","60-Day","13.0000 - 13.0000","13.0000",
"6/7/2011","Call Rate","10.0000 - 10.7500","10.4700",
"6/7/2011","OBB Rate","9.2500 - 10.0000","9.6600",
"6/6/2011","Call Rate","10.0000 - 10.7500","10.5000",
"6/6/2011","OBB Rate","9.0000 - 10.0000","9.9800",
"6/3/2011","Call Rate","8.5000 - 10.7500","10.3000",
"6/3/2011","OBB Rate","9.2900 - 10.0000","9.9600",
"6/2/2011","Call Rate","9.5000 - 10.5000","10.1700",
"6/2/2011","OBB Rate","8.7500 - 9.7500","9.6900",
"6/1/2011","Call Rate","10.0000 - 12.2500","10.4100",
"6/1/2011","OBB Rate","9.0000 - 9.7500","9.6200",
"5/31/2011","60-Day","12.7500 - 12.7500","12.7500",
"5/31/2011","Call Rate","10.0000 - 11.2500","10.7300",
"5/31/2011","OBB Rate","9.0000 - 10.0000","9.4700",
"5/27/2011","Call Rate","10.0000 - 11.0000","10.4900",
"5/27/2011","OBB Rate","7.9000 - 10.0000","9.6900",
"5/26/2011","30-Day","11.5000 - 11.5000","11.5000",
"5/26/2011","Call Rate","9.2500 - 10.7500","10.5100",
"5/26/2011","OBB Rate","7.5000 - 10.0000","9.5000",
"5/25/2011","Call Rate","10.0000 - 10.7500","10.6000",
"5/25/2011","OBB Rate","8.7500 - 10.0000","9.9500",
"5/24/2011","60-Day","12.2500 - 12.2500","12.2500",
"5/24/2011","7-Day","10.0000 - 10.0000","10.0000",
"5/24/2011","Call Rate","9.0000 - 10.0000","9.7300",
"5/24/2011","OBB Rate","7.4000 - 9.5000","8.5300",
"5/23/2011","7-Day","10.0000 - 10.0000","10.0000",
"5/23/2011","Call Rate","8.7500 - 10.0000","9.7300",
"5/23/2011","OBB Rate","8.0000 - 9.5000","8.9200",
"5/20/2011","Call Rate","8.5000 - 11.0000","9.2200",
"5/20/2011","OBB Rate","7.2500 - 9.0000","8.0200",
"5/19/2011","Call Rate","9.0000 - 10.2500","9.9600",
"5/19/2011","OBB Rate","5.8500 - 9.5000","8.9300",
"5/18/2011","60-Day","11.5000 - 11.5000","11.5000",
"5/18/2011","Call Rate","8.0000 - 10.2500","9.9100",
"5/18/2011","OBB Rate","7.8000 - 9.5000","8.7500",
"5/17/2011","60-Day","11.7500 - 11.7500","11.7500",
"5/17/2011","Call Rate","7.7500 - 9.7500","9.4400",
"5/17/2011","OBB Rate","7.7500 - 9.5000","8.4300",
"5/16/2011","Call Rate","8.7500 - 9.7500","9.5000",
"5/16/2011","OBB Rate","8.0000 - 9.5000","9.0500",
"5/13/2011","Call Rate","8.0000 - 9.6000","9.2300",
"5/13/2011","OBB Rate","7.2500 - 9.5000","8.7500",
"5/12/2011","Call Rate","7.5000 - 9.5000","8.8900",
"5/12/2011","OBB Rate","7.0000 - 9.4500","8.2000",
"5/11/2011","7-Day","8.2500 - 8.2500","8.2500",
"5/11/2011","Call Rate","6.7500 - 9.0000","7.9400",
"5/11/2011","OBB Rate","6.0000 - 8.0000","7.0900",
"5/10/2011","60-Day","11.5000 - 11.5000","11.5000",
"5/10/2011","Call Rate","7.2500 - 8.7500","8.0000",
"5/10/2011","OBB Rate","6.0000 - 8.8000","7.0400",
"5/9/2011","Call Rate","6.5000 - 9.0000","8.3200",
"5/9/2011","OBB Rate","6.5000 - 7.5000","6.9000",
"5/6/2011","Call Rate","7.0000 - 9.0000","8.1800",
"5/6/2011","OBB Rate","6.2500 - 9.5000","8.0300",
"5/5/2011","Call Rate","9.2500 - 11.0000","10.5400",
"5/5/2011","OBB Rate","8.2500 - 9.5000","9.3100",
"5/4/2011","30-Day","12.5500 - 12.5500","12.5500",
"5/4/2011","60-Day","12.5500 - 12.5500","12.5500",
"5/4/2011","7-Day","11.7500 - 11.7500","11.7500",
"5/4/2011","Call Rate","9.2500 - 11.2500","10.6900",
"5/4/2011","OBB Rate","9.0000 - 9.5000","9.1900",
"5/3/2011","30-Day","12.5000 - 12.5000","12.5000",
"5/3/2011","60-Day","12.5000 - 12.5000","12.5000",
"5/3/2011","Call Rate","9.5000 - 11.5000","10.5300",
"5/3/2011","OBB Rate","8.0500 - 9.5000","9.2700",
"4/29/2011","7-Day","11.5000 - 11.5000","11.5000",
"4/29/2011","Call Rate","9.5000 - 11.5000","10.7600",
"4/29/2011","OBB Rate","8.4000 - 9.5000","9.4400",
"4/28/2011","7-Day","11.0000 - 11.0000","11.0000",
"4/28/2011","Call Rate","10.5000 - 10.7500","10.6200",
"4/28/2011","OBB Rate","12.2500 - 12.2500","12.2500",
"4/27/2011","Call Rate","9.5000 - 10.7500","10.3000",
"4/27/2011","OBB Rate","9.2500 - 9.5000","9.4900",
"4/21/2011","60-Day","12.5000 - 12.5000","12.5000",
"4/21/2011","Call Rate","9.5000 - 11.0000","10.3700",
"4/21/2011","OBB Rate","8.7500 - 9.5000","9.2900",
"4/20/2011","30-Day","11.0000 - 11.0000","11.0000",
"4/20/2011","7-Day","10.000 - 11.2500","10.9800",
"4/20/2011","Call Rate","9.5000 - 10.7500","10.2400",
"4/20/2011","OBB Rate","8.5000 - 9.5000","9.2900",
"4/19/2011","Call Rate","9.5000 - 10.5000","9.9700",
"4/19/2011","OBB Rate","8.5000 - 9.5000","9.3200",
"4/18/2011","Call Rate","9.7500 - 12.5000","10.3000",
"4/18/2011","OBB Rate","8.3000 - 9.5000","9.3000",
"4/15/2011","Call Rate","9.0000 - 10.0000","9.7400",
"4/15/2011","OBB Rate","7.4000 - 9.5000","9.2400",
"4/14/2011","Call Rate","8.5000 - 10.7500","9.5800",
"4/14/2011","OBB Rate","8.5000 - 9.5000","9.2800",
"4/13/2011","Call Rate","9.5000 -12.5000","11.8200",
"4/13/2011","OBB Rate","9.5000 - 9.5000","9.5000",
"4/12/2011","Call Rate","9.5000 - 12.5000","11.9500",
"4/12/2011","OBB Rate","7.6000 - 9.5000","9.4800",
"4/11/2011","Call Rate","9.5000 - 12.5000","11.9400",
"4/11/2011","OBB Rate","9.5000 - 9.5000","9.5000",
"4/8/2011","30-Day","12.2500 - 12.2500","12.2500",
"4/8/2011","Call Rate","10.0000 - 12.0000","11.7300",
"4/8/2011","OBB Rate","9.5000 - 9.5000","9.500",
"4/7/2011","30-Day","11.5000 - 12.2500","11.9500",
"4/7/2011","60-Day","13.0000 - 14.0000","13.6000",
"4/7/2011","Call Rate","10.0000 - 12.0000","11.4200",
"4/7/2011","OBB Rate","9.0500 - 10.7500","9.4900",
"4/6/2011","30-Day","12.2500 - 12.2500","12.2500",
"4/6/2011","7-Day","11.5000 - 11.5000","11.5000",
"4/6/2011","Call Rate","9.5000 - 12.0000","10.9900",
"4/6/2011","OBB Rate","9.5000 - 9.5000","9.5000",
"4/5/2011","60-Day","12.2500 - 12.5000","12.3300",
"4/5/2011","Call Rate","7.5000 - 9.5000","10.3600",
"4/5/2011","OBB Rate","7.5000 - 9.5000","8.8800",
"4/4/2011","60-Day","13.0000 - 13.0000","13.0000",
"4/4/2011","Call Rate","9.2500 - 11.0000","10.1900",
"4/4/2011","OBB Rate","7.5000 - 9.5000","9.1600",
"4/1/2011","60-Day","12.2500 - 12.5000","12.3200",
"4/1/2011","Call Rate","9.5000 - 11.2500","10.9500",
"4/1/2011","OBB Rate","8.6000 - 10.0000","9.5000",
"3/31/2011","Call Rate","9.5000 - 11.5000","11.0700",
"3/31/2011","OBB Rate","8.3000 - 9.5000","9.3900",
"3/30/2011","30-Day","11.5000 - 12.000","11.7000",
"3/30/2011","Call Rate","9.5000 - 10.7500","10.7600",
"3/30/2011","OBB Rate","7.5500 - 9.5000","9.4900",
"3/29/2011","Call Rate","9.5000 - 10.7500","10.5500",
"3/29/2011","OBB Rate","6.8000 - 9.5000","9.4200",
"3/28/2011","60-Day","12.2500 - 12.2500","12.2500",
"3/28/2011","7-Day","10.7500 - 11.0000","10.8800",
"3/28/2011","Call Rate","9.0000 - 10.7500","10.5000",
"3/28/2011","OBB Rate","7.4000 - 9.5000","7.6800",
"3/25/2011","60-Day","12.0000 - 12.2500","12.1600",
"3/25/2011","Call Rate","9.0000 - 10.7500","9.8900",
"3/25/2011","OBB Rate","7.5000 - 9.5000","9.4000",
"3/24/2011","60-Day","12.5000 - 12.5000","12.5000",
"3/24/2011","Call Rate","9.5000 - 10.7500","10.4500",
"3/24/2011","OBB Rate","5.5600 - 9.8000","8.6800",
"3/23/2011","60-Day","12.5000 - 12.5000","12.5000",
"3/23/2011","Call Rate","9.5000 - 10.7500","10.4300",
"3/23/2011","OBB Rate","9.0000 - 9.5000","9.4300",
"3/22/2011","Call Rate","8.5000 - 11.0000","9.7100",
"3/22/2011","OBB Rate","8.2500 - 8.5000","8.4400",
"3/21/2011","30-Day","10.2500 - 10.2500","10.2500",
"3/21/2011","7-Day","10.2500 - 10.2500","10.2500",
"3/21/2011","Call Rate","8.5000 - 11.0000","9.5300",
"3/21/2011","OBB Rate","5.0000 - 8.6000","6.8900",
"3/18/2011","Call Rate","8.5000 - 9.5000","9.0700",
"3/18/2011","OBB Rate","7.0000 - 8.5000","7.5600",
"3/17/2011","60-Day","10.0000 - 10.0000","10.0000",
"3/17/2011","Call Rate","6.0000 - 9.0000","8.4400",
"3/17/2011","OBB Rate","6.7500 - 8.5000","8.0400",
"3/16/2011","60-Day","11.0000 - 11.0000","11.0000",
"3/16/2011","7-Day","10.0000 - 10.0000","10.0000",
"3/16/2011","Call Rate","8.0000 - 10.0000","9.4800",
"3/16/2011","OBB Rate","7.5000 - 8.5000","8.1000",
"3/15/2011","Call Rate","7.5000 - 10.0000","9.5800",
"3/15/2011","OBB Rate","5.8000 - 8.5000","8.2200",
"3/14/2011","30-Day","9.7500 - 9.7500","9.7500",
"3/14/2011","60-Day","11.2500 - 11.2500","11.2500",
"3/14/2011","7-Day","9.5000 - 10.2500","9.8300",
"3/14/2011","Call Rate","7.7500 - 10.5000","9.8300",
"3/11/2011","30-Day","9.7500 - 10.0000","9.8500",
"3/11/2011","7-Day","9.7500 - 9.7500","9.7500",
"3/11/2011","Call Rate","8.0000 - 10.0000","9.4500",
"3/11/2011","OBB Rate","6.4000 - 8.5000","8.5000",
"3/10/2011","60-Day","10.5000 - 10.5000","10.5000",
"3/10/2011","Call Rate","8.2500 - 10.0000","9.2800",
"3/10/2011","OBB Rate","6.5000 - 9.0900","8.4600",
"3/9/2011","Call Rate","8.2500 - 10.0000","9.4800",
"3/9/2011","OBB Rate","8.2500 - 8.5000","8.4900",
"3/8/2011","60-Day","11.0000 - 11.0000","11.0000",
"3/8/2011","Call Rate","8.5000 - 10.0000","9.1400",
"3/8/2011","OBB Rate","6.2000 - 8.5000","8.3500",
"3/7/2011","60-Day","10.2500 - 10.2500","10.2500",
"3/7/2011","7-Day","9.7500 - 9.7500","9.7500",
"3/7/2011","Call Rate","8.0000 - 9.7500","9.3200",
"3/7/2011","OBB Rate","6.0000 - 8.5000","8.4000",
"3/4/2011","Call Rate","6.7500 - 9.2500","8.8900",
"3/4/2011","OBB Rate","5.6000 - 8.5000","7.5200",
"3/3/2011","30-Day","11.0000 - 11.0000%","11.0000%",
"3/3/2011","Call Rate","5.7500 - 8.5000%","7.7100%",
"3/3/2011","OBB Rate","6.0000 - 7.5000%","6.43000%",
"3/2/2011","30-Day","10.5000 - 10.5000%","10.5000%",
"3/2/2011","Call Rate","6.0000 - 8.0000%","7.4400%",
"3/2/2011","OBB Rate","6.0000 - 7.5000%","6.6900%",
"3/1/2011","30-Day","10.0000 - 10.5000","10.3600",
"3/1/2011","Call Rate","6.7500 - 8.0000","7.4000",
"3/1/2011","OBB Rate","6.7500 - 8.0000","7.3100",
"2/28/2011","Call Rate","6.5000 - 9.5000","8.0100",
"2/28/2011","OBB Rate","7.0000 - 8.5000","7.8000",
"2/25/2011","Call Rate","8.0000 - 10.0000","9.2500",
"2/25/2011","OBB Rate","8.0000 - 8.5000","8.4100",
"2/24/2011","30-Day","9.7500 - 11.0000","10.0800",
"2/24/2011","7-Day","9.7500 - 9.7500","9.7500",
"2/24/2011","Call Rate","7.0000 - 9..5000","8.8300",
"2/24/2011","OBB Rate","4.7500 - 9.1000","8.1200",
"2/23/2011","180-Day","NIL","NIL",
"2/23/2011","30-Day","10.0000 - 10.0000","10.00000",
"2/23/2011","360-Day","NIL","NIL",
"2/23/2011","60-Day","NIL","NIL",
"2/23/2011","7-Day","NIL","NIL",
"2/23/2011","90-Day","NIL","NIL",
"2/23/2011","Call Rate","4.0000 - 8.0000","5.3200",
"2/23/2011","OBB Rate","4.70000 - 8.0000","6.5700",
"2/22/2011","180-Day","NIL","NIL",
"2/22/2011","30-Day","NIL","NIL",
"2/22/2011","360-Day","NIL","NIL",
"2/22/2011","60-Day","NIL","NIL",
"2/22/2011","7-Day","NIL","NIL",
"2/22/2011","Call Rate","8.0000 - 8.7500","8.4600",
"2/22/2011","OBB Rate","7.5000 - 8.0000","7.7500",
"2/21/2011","180-Day","NIL","NIL",
"2/21/2011","30-Day","NIL","NIL",
"2/21/2011","360-Day","NIL","NIL",
"2/21/2011","60-Day","NIL","NIL",
"2/21/2011","7-Day","9.0000 - 9.0000","9.0000",
"2/21/2011","90-Day","NIL","NIL",
"2/21/2011","Call Rate","7.5000 - 8.7500","8.3000",
"2/21/2011","OBB Rate","6.7500 - 8.5000","7.8000",
"2/18/2011","180-Day","NIL","NIL",
"2/18/2011","30-Day","NIL","NIL",
"2/18/2011","360-Day","NIL","NIL",
"2/18/2011","60-Day","NIL","NIL",
"2/18/2011","7-Day","11.0000 - 11.0000","11.0000",
"2/18/2011","90-Day","NIL","NIL",
"2/18/2011","Call Rate","5.0000 - 9.2500","7.6100",
"2/18/2011","OBB Rate","7.0000 - 8.5000","8.0500",
"2/17/2011","180-Day","NIL","NIL",
"2/17/2011","30-Day","NIL","NIL",
"2/17/2011","360-Day","NIL","NIL",
"2/17/2011","60-Day","NIL","NIL",
"2/17/2011","7-Day","11.0000 - 11.0000","11.0000",
"2/17/2011","90-Day","NIL","NIL",
"2/17/2011","Call Rate","8.5000 - 10.5000","9.8900",
"2/17/2011","OBB Rate","6.6000 - 8.5000","8.3900",
"2/16/2011","180-Day","NIL","NIL",
